feature,importance
ichimoku_span_a,16.586478770528547
ichimoku_span_b,13.801902091633943
obv,13.443942605504665
wma_14,9.132996049149606
rsi,9.03581761015054
bb_lower,8.426101147778391
sma_20,8.333624075161538
ema_12,8.300747965417349
mid_price,7.411007931434331
ichimoku_tenkan,4.665923464817719
ichimoku_kijun,4.573964445753532
macd,3.9900844790055934
bb_upper,3.7208417036477974
stoch_k,3.1449106784461
macd_signal,2.7324982345682494
fib_pct,2.2216048842991634
stoch_d,1.8099334912310638
cci,1.7876421652617391
bb_width,1.1129271849230709
wrobv,0.9472841806166675
