feature,importance
ema_12,0.03085061279661726
ichimoku_tenkan,0.02854438536642371
bb_lower,0.02343791513018445
ichimoku_span_a,0.023422293207737623
sma_20,0.023171558302440932
wma_14,0.02305780966421601
mid_price,0.021029100284837066
bb_upper,0.02015837991672481
ichimoku_kijun,0.019528910910980912
obv,0.01608694108879578
stoch_d,0.015864742010681897
ichimoku_span_b,0.010113333312664919
macd,0.009029746450544695
rsi,0.008402317853001362
macd_signal,0.0073591109605439355
bb_width,0.0068860028351977794
Volume,0.0034155678327237758
atr,0.00144704487381353
stoch_k,0.0009743788954408306
adx,0.0008195016580245906
