feature,importance
mid_price,0.9052948468910601
ichimoku_span_a,0.028424837882353025
ema_12,0.019201750498478127
ichimoku_span_b,0.01653086181178559
obv,0.010749557558152443
ichimoku_kijun,0.009658989296640701
bb_upper,0.003272278650116616
ichimoku_tenkan,0.0025034385757204346
wma_14,0.0021693099762284404
sma_20,0.0014324242223421719
bb_lower,0.0006825034436994672
atr,7.444608779567459e-05
cci,1.78568059190543e-06
stoch_d,1.0630647822930831e-06
bb_width,7.139709085488879e-07
macd_signal,4.1958114646357915e-07
wrobv,4.029378839091304e-07
adx,1.8737621947820206e-07
fib_pct,9.83520536323745e-08
macd,7.070107328596982e-08
